typ,nazwa drina,scieka zdjecia,skladnik 1,ilosc s1,skladnik 2,ilosc s2,skladnik 3 ,ilosc s3,skladnik 4 ,ilosc s4,skladnik 5,ilosc s5,skladnik 6,ilosc s6,skladnik 7,ilosc s7,skladnik 8,ilosc s8,instrukcje
drink, Costa Mesa(zawsze w sercu) , costa_mesa, Blue curacao, 20 ml, Sok pomaranczowy, 100 ml, Wodka, 50 ml, Syrop cukrowy, 25 ml, Sok z cytryny, 75 ml, Wodka, 50 ml, Grenadyna, 20 ml, Lod,,aaa
drink, La Bamba, la_bamba, Sok pomaranczowy, 100 ml, Syrop cukrowy, 20 ml, Sok z czarnej porzeczki, 200 ml, Sok z cytryny, 30 ml, Wodka, 100 ml, Owoce, do dekoracji, Lod,,,,aaa
drink, Renegat, renegat, Wodka, 50 ml, Sok zurawinowy, 100 ml, Sok grejfrutowy, 50 ml, Grenadyna, 20 ml, Lod,,,,,,,,aaa
drink, Billie Jean, billie_jean, Wodka, 100 ml, Sok pomaranczowy, 30 ml, Blue curacao, 20 ml, Lod,,,,,,,,,,aaa
drink, Part-Time Lover, part_time_lover, Wodka, 50 ml, Grenadyna, 20 ml, Sok grejfrutowy, 150 ml, Tonik, do dopelnienia, Lod,,,,,,,,aaa
drink, White Russian, white_russian, Wodka, 50 ml, Likier kahlua, 30 ml, Smietanka do kawy, 20 ml, Lod,,,,,,,,,,aaa
drink, Black Russian, black_russian, Wodka, 70 ml, Likier kahlua, 30 ml, Lod,,,,,,,,,,,,aaa
drink, Samba De Janeiro, samba_de_janeiro, Blue curacao, 50 ml, Sok grejfrutowy, 150 ml, Wodka, 50 ml, Sok pomaranczowy, do dopelnienia, Lod,,,,,,,,aaa
drink, Miami Vice, miami_vice, Wodka, 50 ml, Grenadyna, 15 ml, Sok z czarnej porzeczki, 150 ml, Tonik, do dopelnienia, Lod,,,,,,,,aaa
drink, Private Dancer, private_dancer, Wodka, 50 ml, Blue curacao, 30 ml, Sok z cytryny, z cwiartki, Sprite, do dopelnienia, Lod,,,,,,,,aaa
drink, Krwawa Mary, krwawa_mary, Wodka, 40 ml, Sok z cytryny 15 ml, Sos worcestershire, kilka kropli, Tabasco, kilka kropli, Sok pomidorowy, do uzupelnienia, Sol selerowa,,Pieprz,,Lod,,,aaa
drink, Teraz Polska, teraz_polska, Syrop malinowy, 15 ml, Wodka, 15 ml, Sok z cytryny, kilka kropli, Lod,,,,,,,,,,aaa
drink, Daiquiri, daiquiri, Bialy rum, 40 ml, Sok z limonki, 20 ml, Syrop cukrowy, 5 ml, Lod,,,,,,,,,,aaa
drink, Sex On The Beach, sex_on_the_beach, Wodka, 40 ml, Likier brzoskwiniowy, 20 ml, Sok pomaranczowy, 40 ml, Sok zurawinowy, 40 ml, Lod,,,,,,,,aaa
drink, Cosmopolitan, cosmopolitan, Wodka cytrynowa, 40 ml, Likier triple sec, 15 ml, Sok z cytryny, 15 ml, Sok zurawinowy, 30 ml, Lod,,,,,,,,aaa
drink, Margarita, margarita, Srebna tequila, 40 ml, Likier triple sec, 20 ml, Sok z cytryny, 15 ml, Sol i sok z cytryny, do zrobienia crusty, Lod,,,,,,,,aaa
drink, Tequila Sunrise, tequila_sunrise, Srebna tequila, 40 ml, Sok pomaranczowy, do uzupelniania, Grenadyna, lyzka, Lod,,,,,,,,,,aaa
drink, Long Island Iced Tea, long_island_iced_tea, Wodka, 20 ml, Srebna tequila, 20 ml, Bialy rum 20 ml, Gin, 20 ml, Likier triple sec, 20 ml, Syrop cukrowy, 20 ml, Sok z cytryny, 40 ml, Cola, do uzupelnienia, Lod,aaa
drink, Martini, martini, Gin, 50 ml, Wermut, 15 ml, Oliwki,,Lod,,,,,,,,,,aaa
drink, Mojito, mojito,Bialy rum, 40 ml, Limonka, pol sztuki, Cukier brazowy, 2 lyzeczki, Mieta, kilka listkow, Woda gazowana, do dopelnienia, Lod,,,,,,aaa
drink, Wsciekly Pies, wsciekly_pies, Wodka, 20 ml, Syrop malinowy, 10 m, Tabasco, kilka kropli,,,,,,,,,,,aaa
drink, Pina Colada, pina_colada, Bialy rum, 30 ml, Mleczko skondensowane nieslodzone, 20 ml, Syrop kokosowy, 20 ml, Sok ananasowy, 90 ml, Lod,,,,,,,,aaa
dodatek, Domowy Syrop Cukrowy, domowy_syrop_cukrowy, Bialy cukier, szklanka, Wrzatek, szklanka,,,,,,,,,,,,,aaa
